[2025-07-11 10:26:27] INFO: Starting pipeline (test=True, size=20)
[2025-07-11 10:26:31] INFO: [utt_000101] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000102] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000103] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000104] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000105] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000106] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000107] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000108] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000109] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000110] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000111] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000112] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000113] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000114] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000115] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000116] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000117] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000118] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000119] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000120] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000121] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000122] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000123] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000124] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000125] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000126] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000127] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000128] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000129] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000130] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000131] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000132] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000133] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000134] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000135] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000136] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000137] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000138] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000139] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000140] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000141] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000142] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000143] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000144] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000145] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000146] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000147] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000148] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000149] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000150] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000151] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000152] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000153] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000154] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000155] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000156] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000157] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000158] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000159] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000160] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000161] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000162] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000163] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000164] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000165] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000166] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000167] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000168] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000169] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000170] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000171] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000172] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000173] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000174] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000175] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000176] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000177] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000178] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000179] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000180] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000181] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000182] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000183] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000184] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000185] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000186] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000187] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000188] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000189] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000190] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000191] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000192] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000193] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000194] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000195] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000196] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000197] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000198] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000199] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000200] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000201] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000202] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000203] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000204] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000205] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000206] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000207] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000208] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000209] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000210] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000211] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000212] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000213] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000214] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000215] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000216] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000217] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000218] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000219] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000220] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000221] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000222] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000223] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000224] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000225] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000226] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000227] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000228] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000229] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000230] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000231] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000232] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000233] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000234] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000235] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000236] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000237] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000238] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000239] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000240] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000241] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000242] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000243] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000244] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000245] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000246] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000247] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000248] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000249] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000250] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000251] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000252] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000253] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000254] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000255] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000256] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000257] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000258] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000259] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000260] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000261] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000262] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000263] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000264] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000265] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000266] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000267] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000268] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000269] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000270] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000271] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000272] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000273] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000274] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000275] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000276] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000277] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000278] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000279] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000280] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000281] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000282] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000283] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000284] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000285] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000286] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000287] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000288] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000289] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000290] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000291] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000292] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000293] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000294] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000295] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000296] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000297] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000298] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000299] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000300] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000301] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000302] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000303] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000304] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000305] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000306] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000307] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000308] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000309] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000310] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000311] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000312] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000313] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000314] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000315] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000316] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000317] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000318] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000319] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000320] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000321] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000322] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000323] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000324] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000325] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000326] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000327] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000328] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000329] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000330] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000331] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000332] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000333] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000334] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000335] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000336] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000337] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000338] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000339] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000340] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000341] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000342] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000343] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000344] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000345] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000346] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000347] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000348] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000349] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000350] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000351] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000352] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000353] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000354] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000355] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000356] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000357] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000358] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000359] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000360] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000361] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000362] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000363] Cached WAV found, skipping save
[2025-07-11 10:26:31] INFO: [utt_000364] Cached WAV found, skipping save
